x_mm,A_mm2,h_crown_mm,h_max_mm,w_toe_mm,w_half_mm
-12.68757,0.50677,0.24282,0.37065,2.26823,0.65641
-11.97596,1.30606,0.44405,0.46043,4.83249,2.39681
-11.33633,2.83581,0.88983,0.99463,4.49224,3.01154
-10.76140,2.92027,0.58803,0.92818,5.80614,3.56652
-10.24463,3.76240,0.86124,0.88910,6.17257,4.80344
-9.75000,5.55514,1.12320,1.13752,6.89158,5.49955
-9.25000,6.60941,1.67958,1.79574,6.62062,3.60197
-8.75000,7.29858,1.80203,1.80272,6.14830,3.58412
-8.25000,8.03109,2.24550,2.35921,5.53184,3.36824
-7.75000,7.91622,2.39501,2.44016,5.07272,3.33441
-7.25000,8.23029,2.40244,2.45613,5.34578,3.40305
-6.75000,8.85712,2.69184,2.84018,5.06152,3.22181
-6.25000,9.69129,2.78326,2.94705,5.46698,3.38434
-5.75000,9.71503,2.81573,2.99679,5.72956,3.37814
-5.25000,10.15517,2.75761,2.90761,5.08236,3.53226
-4.75000,10.11752,2.72368,2.87592,5.69207,3.54352
-4.25000,10.47432,2.73890,2.97794,5.86807,3.65091
-3.75000,10.45670,2.85128,3.08491,5.67234,3.49458
-3.25000,10.58156,3.11225,3.25607,5.42836,3.19296
-2.75000,10.83402,3.14458,3.31023,5.14821,3.12259
-2.25000,11.31458,3.21879,3.41890,5.45210,3.25962
-1.75000,12.08258,3.26801,3.48917,6.03723,3.31773
-1.25000,11.87180,3.09107,3.14513,6.15028,3.62526
-0.75000,11.72704,2.95573,3.03153,5.70585,3.87581
-0.25000,11.28793,3.21310,3.30822,5.93273,3.49513
0.25000,11.18499,3.21008,3.37584,5.85626,3.36910
0.75000,11.01045,3.26233,3.41549,5.09879,3.19734
1.25000,10.73746,2.99531,3.09983,5.30091,3.51106
1.75000,9.86249,2.75854,2.85690,5.11018,3.50160
2.25000,8.54397,2.46115,2.47055,5.01967,3.40116
2.75000,7.43993,2.10278,2.13494,5.07300,3.57675
3.25000,6.22120,1.70216,1.74019,5.16058,3.57238
3.75000,5.23428,1.32466,1.32856,5.67427,4.01669
4.25000,4.20289,1.08360,1.10536,5.66632,3.98091
4.75000,3.81814,0.92753,0.97254,5.82404,4.25390
5.25000,3.58204,0.79206,0.81100,6.28466,4.51451
5.75000,3.07737,0.71340,0.72686,5.84171,4.37614
6.25000,2.77386,0.67302,0.68781,5.82387,4.05718
6.75000,2.54982,0.63161,0.65038,5.64032,4.06625
7.25000,2.41565,0.59859,0.61761,5.36656,4.34177
7.75000,1.99756,0.56619,0.59271,4.80196,3.57631
8.25000,1.78938,0.47278,0.50850,4.87972,3.72172
8.75000,1.48151,0.37403,0.45668,4.93164,2.68254
9.25000,0.90585,0.19510,0.36053,3.97398,1.13839
9.75000,0.18839,0.06803,0.09782,4.29781,1.14348
