case_id,model,enabled,group,notes,solver,I_A,U_V,travel_speed_m_s,wire_feed_m_s,wire_dia_m,gas_flow_lpm,B_mT,B_dir,B_freq_Hz,n_layers,idle_time_s,scan_mode,sym,cell_size_m,deposit_len_m,dt_s,end_time_s,write_interval_s,purge_write,goldak_af_m,goldak_ar_m,goldak_b_m,goldak_c_m,eta_arc,sigma_j_m,sigma_p_m,A_darcy,sigma_e_gas_ratio,n_procs,decomp_method,p_rgh_tol,noise_twin_of
D00-droplet-135A,D,1,replication,Droplet detachment only. Gate: r=1.105mm f=30Hz vmax=0.9m/s,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00020,0.008,4e-5,0.10,0.001,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,2,scotch,1e-07,
D00-droplet-135A-noise,D,1,noisefloor,Noise-floor twin of D00-droplet-135A. Identical physics; p_rgh tolerance 1e-8. Spread = resolution limit.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00020,0.008,4e-5,0.10,0.001,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,2,scotch,1e-08,D00-droplet-135A
D01-droplet-110A,D,0,replication,Lower current sensitivity check,laserbeamFoam,110,15,0.02,0.12,0.0012,20,0,none,0,1,0,unidir,half,0.00020,0.008,4e-5,0.10,0.001,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,2,scotch,1e-07,
D02-droplet-160A,D,0,replication,Higher current sensitivity check,laserbeamFoam,160,17,0.02,0.18,0.0012,20,0,none,0,1,0,unidir,half,0.00020,0.008,4e-5,0.10,0.001,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,2,scotch,1e-07,
R00-SPSL-paper,P,1,paperfidelity,Paper fidelity SPSL. Gate: h/w within 15pct of Table 5,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00025,0.040,4e-5,2.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
R00-SPSL-paper-noise,P,1,paperfidelity,Noise-floor twin of R00-SPSL-paper. Identical physics; p_rgh tolerance 1e-8. Spread = resolution limit.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00025,0.040,4e-5,2.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-08,R00-SPSL-paper
R01-SPSL-mesh030,P,0,meshstudy,Mesh independence 0.30mm,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00030,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
R02-SPSL-mesh040,P,0,meshstudy,Mesh independence 0.40mm,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00040,0.020,8e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
R03-SPTL-idle,P,0,replication,Two layers with interlayer idle. Paper case 1,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,2,999,bidir,half,0.00035,0.020,5e-5,2.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
R04-SPTL-noidle,P,0,replication,Two layers no idle. Paper case 2,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,2,0,bidir,half,0.00035,0.020,5e-5,2.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
