T_K,phase,sigma_e_S_per_m,k_W_per_mK,cp_J_per_kgK,mu_Pa_s,provenance
300,solid,1.6427e+07,120.25,900.1,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
325,solid,1.5778e+07,125.12,911.5,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
350,solid,1.5167e+07,129.52,923.0,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
375,solid,1.4590e+07,133.50,934.4,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
400,solid,1.4046e+07,137.09,945.8,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
425,solid,1.3531e+07,140.32,957.2,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
450,solid,1.3045e+07,143.23,968.6,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
475,solid,1.2584e+07,145.85,980.1,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
500,solid,1.2147e+07,148.20,991.5,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
525,solid,1.1733e+07,150.30,1002.9,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
550,solid,1.1339e+07,152.17,1014.4,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
575,solid,1.0965e+07,153.84,1025.8,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
600,solid,1.0609e+07,155.32,1037.2,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
625,solid,1.0271e+07,156.63,1048.6,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
650,solid,9.9478e+06,157.77,1060.0,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
675,solid,9.6400e+06,158.77,1071.5,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
700,solid,9.3463e+06,159.63,1082.9,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
725,solid,9.0658e+06,160.37,1094.3,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
750,solid,8.7977e+06,161.00,1105.8,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
775,solid,8.5414e+06,161.52,1117.2,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
800,solid,8.2961e+06,161.94,1128.6,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
825,mushy,7.6590e+06,154.18,1140.4,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
850,mushy,6.4217e+06,133.19,1152.6,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
875,mushy,5.1843e+06,110.69,1164.8,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
900,mushy,3.9469e+06,86.67,1177.1,,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
925,liquid,3.6101e+06,81.48,1180.0,1.2750e-03,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
950,liquid,3.5593e+06,82.51,1180.0,1.2050e-03,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
975,liquid,3.5102e+06,83.51,1180.0,1.1422e-03,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1000,liquid,3.4628e+06,84.49,1180.0,1.0855e-03,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1025,liquid,3.4170e+06,85.46,1180.0,1.0342e-03,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1050,liquid,3.3726e+06,86.41,1180.0,9.8761e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1075,liquid,3.3297e+06,87.34,1180.0,9.4514e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1100,liquid,3.2881e+06,88.25,1180.0,9.0631e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1125,liquid,3.2479e+06,89.15,1180.0,8.7069e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1150,liquid,3.2089e+06,90.04,1180.0,8.3793e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1175,liquid,3.1711e+06,90.91,1180.0,8.0773e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1200,liquid,3.1344e+06,91.78,1180.0,7.7980e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1225,liquid,3.0988e+06,92.62,1180.0,7.5392e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1250,liquid,3.0643e+06,93.46,1180.0,7.2989e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1275,liquid,3.0308e+06,94.29,1180.0,7.0751e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1300,liquid,2.9982e+06,95.10,1180.0,6.8665e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1325,liquid,2.9666e+06,95.91,1180.0,6.6716e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1350,liquid,2.9358e+06,96.71,1180.0,6.4891e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1375,liquid,2.9059e+06,97.49,1180.0,6.3179e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1400,liquid,2.8769e+06,98.27,1180.0,6.1572e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1425,liquid,2.8486e+06,99.05,1180.0,6.0059e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1450,liquid,2.8211e+06,99.81,1180.0,5.8635e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1475,liquid,2.7943e+06,100.57,1180.0,5.7290e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1500,liquid,2.7682e+06,101.32,1180.0,5.6020e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1525,liquid,2.7428e+06,102.06,1180.0,5.4818e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1550,liquid,2.7181e+06,102.80,1180.0,5.3679e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1575,liquid,2.6940e+06,103.53,1180.0,5.2599e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1600,liquid,2.6705e+06,104.26,1180.0,5.1574e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1625,liquid,2.6476e+06,104.98,1180.0,5.0599e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1650,liquid,2.6253e+06,105.69,1180.0,4.9671e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1675,liquid,2.6035e+06,106.41,1180.0,4.8788e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1700,liquid,2.5823e+06,107.11,1180.0,4.7945e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1725,liquid,2.5616e+06,107.82,1180.0,4.7141e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1750,liquid,2.5413e+06,108.52,1180.0,4.6372e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1775,liquid,2.5216e+06,109.21,1180.0,4.5638e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1800,liquid,2.5023e+06,109.90,1180.0,4.4934e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1825,liquid,2.4835e+06,110.59,1180.0,4.4261e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1850,liquid,2.4652e+06,111.28,1180.0,4.3615e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1875,liquid,2.4472e+06,111.96,1180.0,4.2996e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1900,liquid,2.4297e+06,112.64,1180.0,4.2401e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1925,liquid,2.4126e+06,113.32,1180.0,4.1830e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1950,liquid,2.3959e+06,114.00,1180.0,4.1281e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
1975,liquid,2.3795e+06,114.67,1180.0,4.0752e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
2000,liquid,2.3636e+06,115.34,1180.0,4.0244e-04,CONSTR: Desai+Matthiessen | WF for k | anchored cp | Assael mu
