  sigma            : 1000         [constant/propertiesReference]
  mu               : 1            [constant/transportProperties (rho*nu)]
  mu_mag           : 1            [constant/propertiesReference]

  samples          : 100
  half-width L     : 0.5000   (half-span 0.4950 + half-cell 0.0050)
  centreline u(0)  : 0.0158753
  Hartmann number  : 15.810   (B = mu_mag*<H_y> = 0.99993 from the sampled H column)
  max |u/u0 - theory| : 1.3869e-02   at y = -0.4950
  VERDICT          : PASS  - profile matches theory to better than 2%

           y     computed       theory         diff
  ------------------------------------------------
     -0.4950     0.160107     0.146238    1.387e-02
     -0.4350     0.875939     0.871951    3.989e-03
     -0.3750     0.981165     0.980795    3.701e-04
     -0.3150     0.996699     0.997120   -4.208e-04
     -0.2550     0.999153     0.999568   -4.149e-04
     -0.1950     0.999691     0.999935   -2.447e-04
     -0.1350     0.999890     0.999991   -1.009e-04
     -0.0750     0.999974     0.999999   -2.526e-05
     -0.0150     0.999999     1.000000   -7.864e-07
      0.0450     0.999991     1.000000   -8.288e-06
      0.1050     0.999941     0.999997   -5.501e-05
      0.1650     0.999810     0.999975   -1.647e-04
      0.2250     0.999500     0.999833   -3.333e-04
      0.2850     0.998424     0.998885   -4.609e-04
      0.3450     0.992361     0.992563   -2.016e-04
      0.4050     0.952014     0.950410    1.604e-03
      0.4650     0.677434     0.669359    8.076e-03

